A,Agilent Technologies Inc,QUIX8Y7A2WP0XRMW7G29,1090872,9/6/17
AA,Alcoa Corp,ABPN11VOHLHX6QR7XQ48,1675149,10/27/17
AAAG,VINYL PRODUCTS INC,,1451947,
AAAP,Advanced Accelerator Applications SA,,,
AAAP,Advanced Accelerator Applications SA,,1611787,
AABB,Dong Fang Hui Le Holdings Group Inc,,1287145,
AAC,AAC Holdings Inc,549300DGB1REPZB88Q89,1606180,11/6/17
AACC,ASSET ACCEPTANCE CAPITAL CORP,,1264707,4/29/13
AACS,American Commerce Solutions Inc,,949982,6/15/16
AADG,ASIAN DRAGON GROUP INC.,,1314259,7/20/11
AADI,"AMERICAN ASSET DEVELOPMENT, INC.",,1076886,3/24/11
AAEH,All American Energy Holding Inc,,1097945,
AAGC,All American Gold Corp,,1409430,8/6/13
AAGH,America Great Health,,1098009,11/14/17
AAGIY,AIA Group Ltd,,1511634,
AAIIQ,"ALABAMA AIRCRAFT INDUSTRIES, INC",,771729,3/31/09
AAIR,Avantair Inc,,1303849,6/13/13
AAL,American Airlines Group Inc,,6201,10/26/17
AAMC,Altisource Asset Management Corp,,1555074,11/7/17
AAME,Atlantic American Corp,,8177,11/14/17
AAMUQ,AMERICAN AMMUNITION INC/FL,,1123648,
AAN,Aaron's Inc,,706688,10/27/17
AAOI,Applied Optoelectronics Inc,,1158114,11/8/17
AAON,AAON Inc,,824142,11/2/17
AAP,Advance Auto Parts Inc,,1158449,11/14/17
AAPC,Atlantic Alliance Partnership Corp,,1630940,11/14/17
AAPH,American Petro-Hunter Inc,,1040482,4/30/14
AAPL,Apple Inc,HWUPKR0MPOU8FGXBT394,320193,11/3/17
AAPT,All American Pet Co Inc,,1362502,3/14/14
AARS,Asia Atlantic Resources,,1411058,3/18/14
AASL,America's Suppliers Inc,,1002390,8/11/14
AASP,All-American Sportpark Inc,,930245,11/14/17
AAST,Allied American Steel Corp,,1404212,8/19/13
AAT,American Assets Trust Inc,,1500217,11/3/17
AATRL,AMG Capital Trust II,,1420348,
AATV,Adaptive Ad Systems Inc,,1131251,
AAU,Almaden Minerals Ltd,,1015647,
AAUI,Andina Group Inc.,,1419260,5/16/11
AAV,Advantage Oil & Gas Ltd,,1259995,
AAVL,Adverum Biotechnologies Inc,,1501756,11/8/17
AAWC,Alexandria Advantage Warranty Co,,1165758,
AAWW,Atlas Air Worldwide Holdings Inc,,1135185,11/7/17
AAXT,"Aamaxan Transport Group, Inc.",,1358940,8/19/08
AB,AllianceBernstein Holding LP,,825313,10/25/17
ABAC,Aoxin Tianli Group Inc,,1486299,11/13/17
ABAX,Abaxis Inc,,881890,11/9/17
ABB,ABB Ltd,5493000LKVGOO9PELI61,1091587,
ABBB,Auburn Bancorp Inc,,1428802,2/13/12
ABBV,AbbVie Inc,FR5LCKFTG8054YNNRU85,1551152,11/7/17
ABBY,Abby Inc,,1478535,10/18/13
ABC,AmerisourceBergen Corp,AI8GXW8LG5WK7E9UD086,1140859,8/3/17
ABCB,Ameris Bancorp,PBJHNT51T5V6G5UQFV42,351569,11/9/17
ABCD,Cambium Learning Group Inc,,1466815,11/14/17
ABCE,ABCO Energy Inc,,1300938,8/21/17
ABCO,Advisory Board Co,549300IDOPVLNF25KU43,1157377,11/8/17
ABCP,AmBase Corp,,20639,11/14/17
ABCR,ABC Records Management & Data Storage Inc.,,1528234,8/8/13
ABCW,Anchor BanCorp Wisconsin Inc ,,885322,3/11/16
ABDC,Alcentra Capital Corp,549300HZBY88PCH8IZ78,1578620,11/7/17
ABDR,AMBASSADOR FOOD SERVICES CORP,,8734,
ABE,"Aberdeen Emerging Markets Smaller Company Opportunities Fund, Inc",,,
ABEC,Analytica Bio - Energy Corp,,1326853,10/20/14
ABENU,"Advanced BioEnergy, LLC",,1325740,8/10/17
ABEO,Abeona Therapeutics Inc,54930002Z8PIJRCB4576,318306,11/14/17
ABEV,Ambev SA,549300TH5Q6VRP8OT012,1565025,
ABG,Asbury Automotive Group Inc,549300JH4DTA7U42GL91,1144980,10/25/17
ABGB,Abengoa SA ,8ZQH7RR6DBQZIX8PEQ84,1161785,
ABHD,Abtech Holdings Inc,,1405858,11/14/17
ABHI,AmbiCom Holdings Inc,,1444310,4/4/16
ABI,Safety First Trust Series 2009-2,,1449133,
ABIL,Ability Inc,,1652866,
ABIO,ARCA Biopharma Inc,,907654,11/9/17
ABIX,ABATIX CORP,,845779,8/14/07
ABKB,"American Basketball Association, Inc.",,1332044,
ABKH,AMERICAN BANK HOLDINGS INC,,1213219,
ABKI,Abakan Inc,,1400000,9/15/15
ABLE,Able Energy Inc,,1065728,11/20/08
ABLSQ,ABLE LABORATORIES INC,,857171,
ABLT,American Biltrite Inc,,4611,3/29/12
ABM,ABM Industries Inc,QF02R89VEIOROM77J447,771497,9/7/17
ABMC,American Bio Medica Corp,,896747,11/14/17
ABMD,Abiomed Inc,5493001EZN4ZTB4Z5887,815094,11/2/17
ABMT,Advanced Biomedical Technologies Inc,,1385799,9/19/17
ABNC,AMERICAN BANCORP INC/LA,,721238,
ABNS,ALLIANCE BANCSHARES CALIFORNIA,,1140472,11/20/08
ABPI,ACCENTIA BIOPHARMACEUTICALS INC,,1310094,2/14/13
ABPR,Airborne Security & Protective Services Inc,,1486965,
ABQQ,AB INTERNATIONAL GROUP CORP.,,1605331,7/14/17
ABR,Arbor Realty Trust Inc,,1253986,11/3/17
ABS,Albertsons Companies Inc,,1646972,
ABS,Albertsons Companies Inc,,3333,5/31/06
ABSR,"American Business Services, Inc.",,1532882,8/22/16
ABT,Abbott Laboratories,HQD377W2YR662HK5JX27,1800,11/2/17
ABTL,Autobytel Inc,,1023364,11/2/17
ABTO,AB&T Financial Corp,,1435161,5/15/12
ABTX,Allegiance Bancshares Inc,,1642081,11/2/17
ABUS,Arbutus Biopharma Corp,,,
ABVA,ALLIANCE BANKSHARES CORP,,1181001,11/14/12
ABVC,American BriVision (Holding) Corp,,1173313,8/21/17
ABVG,Affinity Beverage Group Inc,,7059,
ABVN,"ABV CONSULTING, INC.",,1607450,11/14/17
ABWG,AB WATLEY GROUP INC,,1035632,
ABWN,Airborne Wireless Network,,1537258,11/14/17
ABX,Barrick Gold Corp,0O4KBQCJZX82UKGCBV73,756894,
ABY,Atlantica Yield PLC,,1601072,
ABYB,Amboy Bancorporation,,1053000,
AC,Associated Capital Group Inc,,1642122,11/7/17
AC,Associated Capital Group Inc,,1002819,
ACAD,ACADIA Pharmaceuticals Inc,,1070494,11/7/17
ACAN,Americann Inc,,1508348,8/14/17
ACAR,Activecare Inc,,1429896,5/19/17
ACAS,American Capital Ltd,IX05XKCONTEBR8CL9Q86,817473,11/3/16
ACAT,Arctic Cat Inc,549300T3W8Y3L9D3CQ28,719866,2/6/17
ACBC,Albina Community Bancorp,,1009908,
ACBI,Atlantic Capital Bancshares Inc,5493005URKIOUNJO6097,1461755,11/9/17
ACBM,"ACRO BIOMEDICAL CO., LTD.",,1622996,8/11/17
ACC,American Campus Communities Inc,,1283630,11/3/17
ACCA,Acacia Diversified Holdings Inc,,1001463,11/13/17
ACCE,ACCRES HOLDING INC,,1158201,11/19/10
ACCL,"ACCELRYS, INC.",,1002388,3/10/14
ACCO,ACCO Brands Corp,JCT8P4Y190IH4I1NX328,712034,11/1/17
ACCP,Abeona Therapeutics Inc,,1630970,
